ksa-sports-1	https://aloula-redirect.vercel.app/9/playlist.m3u8
ksa-sports-2	https://aloula-redirect.vercel.app/10/playlist.m3u8
ksa-sports-3	https://aloula-redirect.vercel.app/16/playlist.m3u8
star-news	https://owrcovcrpy.gpcdn.net/bpk-tv/1710/output/1701.m3u8
ekattor-tv	https://owrcovcrpy.gpcdn.net/bpk-tv/1705/output/1705.m3u8
dbc-news	https://owrcovcrpy.gpcdn.net/bpk-tv/1728/output/index.m3u8
news24	https://owrcovcrpy.gpcdn.net/bpk-tv/1708/output/1708.m3u8
channel-24	https://owrcovcrpy.gpcdn.net/bpk-tv/1703/output/index.m3u8
somoy-tv	http://114.130.57.233:8080/Somoy-TV-3Mb/tracks-v1a1/mono.m3u8?token=SkQuhAXZxgBan1
channel-1	https://owrcovcrpy.gpcdn.net/bpk-tv/1702/output/index.m3u8
wion	https://d7x8z4yuq42qn.cloudfront.net/index_7.m3u8
e24	http://103.175.73.12:8080/live/159/159_0.m3u8
tv9-bangla	https://dyjmyiv3bp2ez.cloudfront.net/pub-iotv9banaen8yq/liveabr/playlist.m3u8
al-jazeera	https://owrcovcrpy.gpcdn.net/bpk-tv/1721/output/index.m3u8
news-nation	https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/6cd2f649739a45ca9de1daf81cc7d0f2/index.m3u8
times-of-india	https://live.sli.ke/live/npnhm84gz9/master.m3u8
independent-tv	https://owrcovcrpy.gpcdn.net/bpk-tv/1704/output/index.m3u8
jamuna-tv	https://owrcovcrpy.gpcdn.net/bpk-tv/1701/output/index.m3u8
al-ekhbaria	https://cdn-globecast.akamaized.net/live/eds/al_ekhbariya/hls_roku/index.m3u8
atn-news	https://owrcovcrpy.gpcdn.net/bpk-tv/1706/output/index.m3u8
ekattor-hd	https://owrcovcrpy.gpcdn.net/bpk-tv/1705/output/index.m3u8
ndtv-english	https://ndtv24x7elemarchana.akamaized.net/hls/live/2003678/ndtv24x7/master.m3u8
awaaz-india	http://awaazindia.livebox.co.in/AwaazIndaTVhls/Live.m3u8
india-today	https://feeds.intoday.in/hltapps/api/master.m3u8
dw-english	https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/index.m3u8
news-max-2	https://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
ndtv-hindi	https://ndtvindiaelemarchana.akamaized.net/hls/live/2003679/ndtvindia/master.m3u8
trt-world	https://tv-trtworld.medya.trt.com.tr/master.m3u8
cnn	https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
dw-news	https://dwamdstream102.akamaized.net/hls/live/2015525/dwstream102/master.m3u8
global-news	https://live.corusdigitaldev.com/groupb/live/3062d0e3-ed4c-4f47-8482-95648250f4b8/live.isml/.m3u8
t-global-news	https://live.corusdigitaldev.com/groupd/live/49a91e7f-1023-430f-8d66-561055f3d0f7/live.isml/master.m3u8
bek-tv-news	https://cdn3.wowza.com/5/ZWQ1K2NYTmpFbGsr/BEK-WOWZA-1/smil:BEKPRIMEeast.smil/playlist.m3u8
r-plus-news	https://thelegitpro.in/pntv/rplusnews24x7/tracks-v1a1/mono.m3u8
france-24-english	https://live.france24.com/hls/live/2037218-b/F24_EN_HI_HLS/master_2300.m3u8
desh-tv	https://bozztv.com/rongo/rongo-DeshTV/tracks-v1a1/mono.m3u8
france-news-24	https://live.france24.com/hls/live/2037179/F24_FR_HI_HLS/master_5000.m3u8
rtnews-global	https://rt-rtd.rttv.com/dvr/rtdoc/playlist.m3u8?v=1
rt-news-usa	https://rt-glb.rttv.com/live/rtnews/playlist.m3u8?v=1
rt-news	https://rt-glb.rttv.com/live/rtnews/playlist.m3u8
oan	https://a-cdn.klowdtv.com/live1/oan_720p/playlist.m3u8
bangla-vision	https://owrcovcrpy.gpcdn.net/bpk-tv/1715/output/index.m3u8
ntv	https://owrcovcrpy.gpcdn.net/bpk-tv/1716/output/index.m3u8
maasranga-tv	https://owrcovcrpy.gpcdn.net/bpk-tv/1722/output/index.m3u8
channel-9	https://owrcovcrpy.gpcdn.net/bpk-tv/1729/output/index.m3u8
channel-i	https://owrcovcrpy.gpcdn.net/bpk-tv/1723/output/index.m3u8
deepto-tv	https://owrcovcrpy.gpcdn.net/bpk-tv/1711/output/index.m3u8
ekushey-tv	https://ekusheyserver.com/etvlivesn.m3u8
dd-bangla	https://d3qs3d2rkhfqrt.cloudfront.net/out/v1/7ff57cc9046b4c188b51a0d506f36e7f/index_3.m3u8
